"permit_number","streetname","Cross Street 1","Cross Street 2","Permit Type","Agent","AgentPhone","Permit Purpose","Approved Date","Status","cnn","permit_zipcode","permit_start_date","permit_end_date","permit_address","24/7 Contact","Inspector","CurbRampWork","X","Y","Latitude","Longitude","bpa","Location","the_geom","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"25EXC-04210","18TH ST","LINDA ST","GUERRERO ST","Excavation","Pacific Gas & Electric","415-302-5805","*EP 635 GUERRERO ST SAN FRANCISCO","08/26/2025","APPROVED","884000","94110","10/10/2025","11/07/2025",,"800-pge-5000","Kevin Johnson Jr.","true","6005708.02343","2105487.86895","37.76159138367","-122.42337800203",,"POINT (-122.42337800202829 37.76159138366667)","POINT (-122.423378002 37.761591384)","Mission","9","2025/08/28 03:42:52 AM","2025/08/29 05:13:53 AM"
"25IE-00347","WASHINGTON ST","SPRUCE ST","MAPLE ST","StrtImprov","Bill Brown Construction","(415)481-1251","Remove and reconstruct existing 16’driveway curb cut, sidewalk and concrete gutter/parking strip to City Standard and per approved plan, saw-cut 2’ of AC gutter for pavement conform. Any additional paving or pavement conforms to adjacent property as directed by City Inspector.  Field inspection is MANDATORY prior to excavation and pouring concrete, call 1-628-271-2000 or email SFPW-bsminspects@sfSFPW.org  to schedule preconstruction site meeting.","08/27/2025","ACTIVE","13450000","94118",,"07/15/2026","3760 WASHINGTON ST","Refer to Agent","O'Brian Buchanan",,"5996776.09053","2115681.71974","37.7890728768","-122.455006349","201812107860","POINT (-122.4550063490003 37.789072876799146)","POINT (-122.455006349 37.789072877)","Presidio Heights","2","2025/08/28 03:42:52 AM","2025/08/29 05:13:53 AM"
"25EXC-01889","SAN BRUNO AVE","MANSELL ST \ SALINAS AVE","ORDWAY ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","11385000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011911.823","2090569.998","37.7209782871","-122.40087332838",,"POINT (-122.40087332838284 37.720978287099676)","POINT (-122.400873328 37.720978287)","Portola","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"23IE-00344","WALNUT ST","PACIFIC AVE","JACKSON ST","StrtImprov","Partner's Contracting, Inc.","415-492-9233","Remove and reconstruct sidewalk and existing (19’) driveway curb cut per approved plan.  Additional paving as required and directed by SFPW/BSM inspector. Field inspection is MANDATORY prior to excavation and pouring concrete, call 1-628-271-2000 or email dpw-bsminspects@sfdpw.org  to schedule. This permit is in conjunction with MSE permit.","08/26/2025","APPROVED","13381000","94118",,"09/15/2026","15 WALNUT ST","Refer to Agent",,,"5998395.38651","2116443.35732","37.79125689282","-122.44945871865","202210184608","POINT (-122.44945871865453 37.79125689282032)","POINT (-122.449458719 37.791256893)","Presidio Heights","2","2025/08/28 03:42:52 AM","2025/08/29 05:13:53 AM"
"25EXC-01889","CAMPBELL AVE","SAN BRUNO AVE","BRUSSELS ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","3637000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012099.99156","2088480.85453","37.71525239967","-122.40007624052",,"POINT (-122.40007624051567 37.715252399671314)","POINT (-122.400076241 37.7152524)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","CANDLESTICK COVE WAY","EXECUTIVE PARK BLVD",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","54206000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6013825.217186","2087023.572266","37.71134702909","-122.39401110729",,"POINT (-122.39401110729395 37.71134702909027)","POINT (-122.394011107 37.711347029)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-04237","WALLER ST","BUCHANAN ST","WEBSTER ST","Excavation","Pacific Gas & Electric","415-238-1286","EP 266 WALLER ST SAN FRANCISCO","10/08/2025","APPROVED","13360000","94102","10/23/2025","11/20/2025",,"800-pge-5000","Kevin Johnson Jr.",,"6004506.59655","2109116.91158","37.77148798131","-122.42779183529",,"POINT (-122.42779183528863 37.771487981308425)","POINT (-122.427791835 37.771487981)","Hayes Valley","5","2025/10/09 04:15:51 AM","2025/10/10 05:16:34 AM"
"25EXC-01889","HARKNESS AVE","SAN BRUNO AVE","GIRARD ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","6676000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012032.72014","2089425.09639","37.71784134696","-122.40037504507",,"POINT (-122.40037504506704 37.71784134695686)","POINT (-122.400375045 37.717841347)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25ADS-00046","FRANKLIN ST","PINE ST","CALIFORNIA ST","AddlStSpac","HITT Contracting Inc",,"Comnstruction in association with 23IE-00492","10/07/2025","ACTIVE","5825000","94109","10/20/2025","10/31/2025",,"Refer to Agent","George Shami",,"6005773.76538","2115716.99395","37.78968179242","-122.4238780224","23IE-00492","POINT (-122.42387802240088 37.78968179242412)","POINT (-122.423878022 37.789681792)","Western Addition","2","2025/10/17 04:20:32 AM","2025/10/18 05:14:21 AM"
"25EXC-01889","WHEELER AVE","HESTER AVE","BLANKEN AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","13596000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012204.67719","2087500.64263","37.71256676966","-122.39964561666",,"POINT (-122.39964561665961 37.71256676966131)","POINT (-122.399645617 37.71256677)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
